method,run,seed,crossover_rate,crossover_rate_final,allow_shape_mismatch_crossover,crossover_attempts,crossover_shape_match_events,crossover_shape_match_layers,crossover_shape_match_rate,crossover_shape_mismatch_events,crossover_shape_mismatch_layers,crossover_shape_mismatch_rate,final_loss,final_accuracy,final_params,final_topology,final_topology_share,most_common_topology,most_common_topology_share,first_final_topology_generation,first_majority_topology_generation,wall_seconds
svd_crossover_same_dim,0,0,0.5,,False,2923,1677,2717,0.5737256243585358,960,1733,0.3284296955183031,0.9029508310737971,0.7555555555555555,650,64-10,0.1,64-35-10,0.45,1,1,58.465295900001365
svd_crossover_same_dim,1,1,0.5,,False,2824,1910,3459,0.6763456090651558,975,1968,0.3452549575070821,0.614937952830929,0.8305555555555556,650,64-10,0.9,64-10,0.9,1,1,57.87859010000102
svd_crossover_same_dim,2,2,0.5,,False,2881,1842,3441,0.6393613328705311,980,1709,0.34015966678236725,0.6048678116950453,0.8361111111111111,2710,64-36-10,0.75,64-36-10,0.75,6,233,58.608030899998994
svd_crossover_same_dim,3,3,0.5,,False,2875,1779,3592,0.6187826086956522,1226,2261,0.42643478260869566,0.5175891817799306,0.8694444444444445,1585,64-21-10,0.2,64-36-22-10,0.55,15,66,61.95539240000289
svd_crossover_same_dim,4,4,0.5,,False,2742,1522,3097,0.5550692924872356,1086,2037,0.39606126914660833,0.6564344011454785,0.8027777777777778,2735,64-29-21-10,0.05,64-30-20-10,0.4,250,301,60.08377269999983
svd_crossover_same_dim,5,5,0.5,,False,2829,1779,3567,0.6288441145281018,1055,1975,0.3729232944503358,0.7148910307863393,0.7916666666666666,2991,64-31-23-10,0.2,64-31-10,0.35,289,298,59.625206400000025
svd_crossover_same_dim,6,6,0.5,,False,2844,1590,3086,0.5590717299578059,1123,2002,0.3948663853727145,0.7147553133169505,0.8083333333333333,1885,64-25-10,0.55,64-25-10,0.55,119,300,58.17506119999598
svd_crossover_same_dim,7,7,0.5,,False,2799,1881,3431,0.6720257234726688,1035,1810,0.36977491961414793,0.5144412970409047,0.8805555555555555,3656,64-38-24-10,0.1,64-38-10,0.7,11,301,61.51553180000337
svd_crossover_same_dim,8,8,0.5,,False,2858,1776,3247,0.6214135759272218,1015,1895,0.3551434569629111,0.684044540431573,0.7888888888888889,2935,64-39-10,0.25,64-38-10,0.7,50,283,57.62049829999887
svd_crossover_same_dim,9,9,0.5,,False,2875,1701,2937,0.5916521739130435,1040,1760,0.3617391304347826,0.7043969671251886,0.7972222222222223,3085,64-41-10,0.05,64-41-20-10,0.35,293,301,56.85391059999529
svd_crossover_same_dim,10,10,0.5,,False,2800,1743,3126,0.6225,1260,2368,0.45,0.5526002901141144,0.8416666666666667,2514,64-26-22-10,0.3,64-26-22-10,0.3,246,274,60.14294599999994
svd_crossover_same_dim,11,11,0.5,,False,2910,1841,3360,0.6326460481099656,870,1494,0.29896907216494845,0.5349886973080045,0.8694444444444445,2710,64-36-10,0.5,64-36-10,0.5,14,27,57.93541009999899
svd_crossover_same_dim,12,12,0.5,,False,2891,1721,3133,0.5952957454168107,959,1748,0.33171912832929784,0.8044572773256272,0.8055555555555556,3705,64-38-25-10,0.05,64-39-25-10,0.35,269,301,57.73236629999883
svd_crossover_same_dim,13,13,0.5,,False,2854,1773,3802,0.6212333566923616,1198,2512,0.41976173791170285,0.8426909289597546,0.7222222222222222,1585,64-21-10,0.9,64-21-10,0.9,17,263,59.96682249999867
svd_crossover_same_dim,14,14,0.5,,False,2818,1508,2842,0.5351312987934705,1099,1909,0.38999290276792054,0.7136738440650396,0.8194444444444444,1885,64-25-10,0.65,64-25-10,0.65,54,281,57.35697940000682
