method,run,seed,generation,best_loss,best_accuracy,best_params,best_topology,most_common_topology,most_common_topology_share,unique_topologies,final_topology_share
svd_crossover_same_dim,0,0,1,2.354423702708034,0.08611111111111111,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,2,2.328879310744593,0.1388888888888889,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,3,2.2918988519900223,0.06944444444444445,650,64-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,4,2.225573897176161,0.14444444444444443,650,64-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,5,2.225573897176161,0.14444444444444443,650,64-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,6,2.2232001188556585,0.14166666666666666,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,7,2.20062739426403,0.1527777777777778,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,8,2.20062739426403,0.1527777777777778,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,9,2.20062739426403,0.1527777777777778,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,10,2.1892811438261806,0.16666666666666666,650,64-10,64-10,0.85,3,0.85
svd_crossover_same_dim,0,0,11,2.1892811438261806,0.16666666666666666,650,64-10,64-10,0.8,3,0.8
svd_crossover_same_dim,0,0,12,2.1846705857658524,0.16944444444444445,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,13,2.1846705857658524,0.16944444444444445,650,64-10,64-10,0.7,2,0.7
svd_crossover_same_dim,0,0,14,2.1749027059836084,0.16666666666666666,2785,64-37-10,64-10,0.6,3,0.6
svd_crossover_same_dim,0,0,15,2.171381856871522,0.175,650,64-10,64-10,0.4,4,0.4
svd_crossover_same_dim,0,0,16,2.163881752786258,0.17777777777777778,2785,64-37-10,64-10,0.5,5,0.5
svd_crossover_same_dim,0,0,17,2.156607058547905,0.18888888888888888,650,64-10,64-37-10,0.45,6,0.35
svd_crossover_same_dim,0,0,18,2.152801843381739,0.20833333333333334,2785,64-37-10,64-37-10,0.7,4,0.2
svd_crossover_same_dim,0,0,19,2.152508060328285,0.19722222222222222,650,64-10,64-37-10,0.7,4,0.15
svd_crossover_same_dim,0,0,20,2.1410809875813936,0.2222222222222222,650,64-10,64-10,0.6,3,0.6
svd_crossover_same_dim,0,0,21,2.1410809875813936,0.2222222222222222,650,64-10,64-37-10,0.55,4,0.35
svd_crossover_same_dim,0,0,22,2.1317449140776406,0.22777777777777777,2785,64-37-10,64-10,0.55,3,0.55
svd_crossover_same_dim,0,0,23,2.1166119934706846,0.225,650,64-10,64-37-10,0.5,4,0.4
svd_crossover_same_dim,0,0,24,2.1128172577195343,0.225,650,64-10,64-10,0.5,3,0.5
svd_crossover_same_dim,0,0,25,2.1128172577195343,0.225,650,64-10,64-10,0.45,4,0.45
svd_crossover_same_dim,0,0,26,2.1128172577195343,0.225,650,64-10,64-10,0.65,4,0.65
svd_crossover_same_dim,0,0,27,2.101757914345928,0.24166666666666667,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,28,2.0949894524112285,0.25833333333333336,2785,64-37-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,29,2.0946288883362394,0.25277777777777777,650,64-10,64-10,0.7,3,0.7
svd_crossover_same_dim,0,0,30,2.084714446753352,0.26666666666666666,2785,64-37-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,31,2.084714446753352,0.26666666666666666,2785,64-37-10,64-10,0.9,2,0.9
svd_crossover_same_dim,0,0,32,2.084253979015261,0.275,650,64-10,64-10,0.75,2,0.75
svd_crossover_same_dim,0,0,33,2.074705766338859,0.275,2785,64-37-10,64-10,0.75,2,0.75
svd_crossover_same_dim,0,0,34,2.074705766338859,0.275,2785,64-37-10,64-10,0.85,2,0.85
svd_crossover_same_dim,0,0,35,2.074213163893627,0.26944444444444443,650,64-10,64-10,0.7,3,0.7
svd_crossover_same_dim,0,0,36,2.074213163893627,0.26944444444444443,650,64-10,64-10,1.0,1,1.0
svd_crossover_same_dim,0,0,37,2.074213163893627,0.26944444444444443,650,64-10,64-10,0.95,2,0.95
svd_crossover_same_dim,0,0,38,2.0644599015163267,0.28055555555555556,650,64-10,64-10,0.85,2,0.85
svd_crossover_same_dim,0,0,39,2.0644599015163267,0.28055555555555556,650,64-10,64-10,0.9,2,0.9
