method,run,seed,generation,proposal_attempt,parent_arch_id,child_arch_id,mutation_ops,needs_distillation,status,loss,accuracy,params
lemonade_paper_search_space_i,0,0,1,1,ss1_0C32-__1C64-__2C128-,ss1_0C32-__1C64-.3C64-__2C128-,insert_conv_bn_relu,False,rejected_cheap_objective,,,131754
lemonade_paper_search_space_i,0,0,1,2,ss1_0S48-__1S96-__2S96-,ss1_0S48-__1S96-.3S96-__2S96-,insert_conv_bn_relu,False,rejected_cheap_objective,,,27013
lemonade_paper_search_space_i,0,0,1,3,ss1_0S48-__1S96-__2S96-,ss1_0S48-__1S32-__2S96-.3S96-,increase_filters;insert_conv_bn_relu;prune_filters,True,rejected_cheap_objective,,,17093
lemonade_paper_search_space_i,0,0,1,4,ss1_0S48-__1S96-__2S96-,ss1_0S48-.3S48-__1S96-__2S96-,insert_conv_bn_relu,False,rejected_cheap_objective,,,19573
lemonade_paper_search_space_i,0,0,1,5,ss1_0C64-__1C128-__2C256-,ss1_0C16-__1C128-__2C256-,prune_filters,True,accepted_trained,1.7084017992019653,0.367000013589859,317146
lemonade_paper_search_space_i,0,0,1,6,ss1_0C64-__1C128-__2C256-,ss1_0C64-__1C32-__2C128-,prune_filters;prune_filters,True,rejected_cheap_objective,,,58762
lemonade_paper_search_space_i,0,0,1,7,ss1_0C32-__1C64-__2C128-,ss1_0C32-__1C64-__2C128-.3C128-.4C128-,insert_conv_bn_relu;insert_conv_bn_relu,False,rejected_cheap_objective,,,390186
lemonade_paper_search_space_i,0,0,1,8,ss1_0C64-__1C128-__2C256-,ss1_0C64-__1C128-__2S256-.3S256r2,replace_conv_with_sepconv;insert_conv_bn_relu;add_skip_connection,True,accepted_trained,1.807375431060791,0.36899998784065247,181195
lemonade_paper_search_space_i,0,0,2,1,ss1_0C16-__1C128-__2C256-,ss1_0S16-__1C128-__2C320-,replace_conv_with_sepconv;increase_filters,True,rejected_cheap_objective,,,391285
lemonade_paper_search_space_i,0,0,2,2,ss1_0S48-__1S96-__2S96-,ss1_0S48-__1S96-__2S144-,increase_filters,False,rejected_cheap_objective,,,21925
lemonade_paper_search_space_i,0,0,2,3,ss1_0C16-__1C128-__2C256-,ss1_0C16-__1C128-.3C128-__2C256-,insert_conv_bn_relu,False,accepted_trained,1.6562753915786743,0.38600000739097595,464858
lemonade_paper_search_space_i,0,0,2,4,ss1_0S48-__1S96-__2S96-,ss1_0S48-__1S96-__2S96-.3S96-,insert_conv_bn_relu,False,accepted_trained,1.8640761375427246,0.3179999887943268,27013
lemonade_paper_search_space_i,0,0,2,5,ss1_0C16-__1C128-__2C256-,ss1_0C16-__1C32-__3C256-,insert_conv_bn_relu;prune_filters;remove_layer_or_skip,True,rejected_cheap_objective,,,81946
lemonade_paper_search_space_i,0,0,2,6,ss1_0S48-__1S96-__2S96-,ss1_0S16-__1S96-__2S96-,prune_filters,True,rejected_cheap_objective,,,13221
lemonade_paper_search_space_i,0,0,2,7,ss1_0C16-__1C128-__2C256-,ss1_0C24-__1C128-__2C256-,increase_filters,False,rejected_cheap_objective,,,326594
lemonade_paper_search_space_i,0,0,2,8,ss1_0C32-__1C64-__2C128-,ss1_0C32-.3C32-__1S64-__2C128-,replace_conv_with_sepconv;insert_conv_bn_relu,True,rejected_cheap_objective,,,87946
lemonade_paper_search_space_i,0,0,3,1,ss1_0S48-__1S96-__2S96-,ss1_0S48-.3S48-__1S96-__2S96-,insert_conv_bn_relu,False,rejected_cheap_objective,,,19573
lemonade_paper_search_space_i,0,0,3,2,ss1_0S48-__1S96-__2S96-,ss1_0S48-__1S96-__2S192-,increase_filters,False,rejected_cheap_objective,,,27109
lemonade_paper_search_space_i,0,0,3,3,ss1_0C16-__1C128-.3C128-__2C256-,ss1_0C16-__1C128-.4C128-__2C256-,add_skip_connection;remove_layer_or_skip;insert_conv_bn_relu,True,rejected_cheap_objective,,,464858
lemonade_paper_search_space_i,0,0,3,4,ss1_0C16-__1C128-.3C128-__2C256-,ss1_0C16-__1C160-.3C128-__2C64-,prune_filters;increase_filters,True,rejected_cheap_objective,,,282906
lemonade_paper_search_space_i,0,0,3,5,ss1_0C16-__1C128-.3C128-__2C256-,ss1_0C16-__1S128-.3C128r1__2C256-,add_skip_connection;replace_conv_with_sepconv,True,accepted_trained,1.6705313920974731,0.3889999985694885,448619
lemonade_paper_search_space_i,0,0,3,6,ss1_0C32-__1C64-__2C128-,ss1_0C32-__1C64-.3C64-__2C128-,insert_conv_bn_relu,False,accepted_trained,1.6320421695709229,0.4000000059604645,131754
lemonade_paper_search_space_i,0,0,3,7,ss1_0S48-__1S96-__2S96-.3S96-,ss1_0S48-__1S120-__2S96-.3S96-,increase_filters,False,rejected_cheap_objective,,,30733
lemonade_paper_search_space_i,0,0,3,8,ss1_0S48-__1S96-__2S96-.3S96-,ss1_0S24-__1S96-__2S96-.4S96-.3S96-,prune_filters;insert_conv_bn_relu,True,rejected_cheap_objective,,,34645
lemonade_paper_search_space_i,0,0,4,1,ss1_0C32-__1C64-__2C128-,ss1_0C16-__1C64-.3C64-__2C128-.4C128-,prune_filters;insert_conv_bn_relu;insert_conv_bn_relu,True,rejected_cheap_objective,,,269786
