method,run,seed,generation,pareto_size,best_loss,best_accuracy,best_params,best_arch,smallest_params,smallest_accuracy,accepted_children
lemonade_paper_search_space_i,0,0,1,3,1.7084017992019653,0.367000013589859,317146,ss1_0C16-__1C128-__2C256-,16741,0.25999999046325684,2
lemonade_paper_search_space_i,0,0,2,5,1.6562753915786743,0.38600000739097595,464858,ss1_0C16-__1C128-.3C128-__2C256-,16741,0.25999999046325684,2
lemonade_paper_search_space_i,0,0,3,4,1.6320421695709229,0.4000000059604645,131754,ss1_0C32-__1C64-.3C64-__2C128-,16741,0.25999999046325684,2
lemonade_paper_search_space_i,0,0,4,5,1.6320421695709229,0.4000000059604645,131754,ss1_0C32-__1C64-.3C64-__2C128-,16741,0.25999999046325684,2
lemonade_paper_search_space_i,0,0,5,7,1.6320421695709229,0.4000000059604645,131754,ss1_0C32-__1C64-.3C64-__2C128-,16741,0.25999999046325684,2
lemonade_paper_search_space_i,0,0,6,6,1.567770004272461,0.3959999978542328,87946,ss1_0C32-__1C32-.3S64-__2C128-,16741,0.25999999046325684,2
lemonade_paper_search_space_i,0,0,7,5,1.489646315574646,0.43700000643730164,106922,ss1_0C32-__1C32-.3S80-__2C128-,13370,0.35600000619888306,2
lemonade_paper_search_space_i,0,0,8,4,1.5173689126968384,0.44600000977516174,48618,ss1_0C32-__1C32-__2C128-,13370,0.35600000619888306,2
lemonade_paper_search_space_i,0,0,9,5,1.5123989582061768,0.4519999921321869,57898,ss1_0C32-.4C32-__1C32-__2C128-,13370,0.35600000619888306,2
lemonade_paper_search_space_i,0,0,10,5,1.4535683393478394,0.4819999933242798,67178,ss1_0C32-.5C32-.4C32-__1C32-__2C128-,13370,0.35600000619888306,2
