method,run,seed,loss,accuracy,params,arch_id,arch_json,warmstarted_values,parent_arch_id,mutation_ops,needs_distillation
lemonade_paper_search_space_i,0,0,1.7989299297332764,0.32199999690055847,16741,ss1_0S48-__1S96-__2S96-,"{""next_block_id"": 3, ""stages"": [[{""block_id"": 0, ""op"": ""sepconv"", ""out_channels"": 48, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}]]}",17224,ss1_0S48-__1S96-__2S96-,remove_layer_or_skip;remove_layer_or_skip,True
lemonade_paper_search_space_i,0,0,1.5178136825561523,0.46299999952316284,48618,ss1_0C32-__1C32-__2C128-,"{""next_block_id"": 4, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}]]}",49005,ss1_0C32-__1C32-.3C64-__2C128-,remove_layer_or_skip,True
lemonade_paper_search_space_i,0,0,1.4496759176254272,0.4869999885559082,66411,ss1_0C32-__1C32-__2C128-.4S128r2,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}, {""block_id"": 4, ""op"": ""sepconv"", ""out_channels"": 128, ""skip_from"": 2}]]}",49005,ss1_0C32-__1C32-__2C128-,add_skip_connection;add_skip_connection;replace_conv_with_sepconv,True
lemonade_paper_search_space_i,0,0,1.722799301147461,0.3869999945163727,19574,ss1_3S48-.4S48r3__1S96-__2S96-,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 3, ""op"": ""sepconv"", ""out_channels"": 48, ""skip_from"": null}, {""block_id"": 4, ""op"": ""sepconv"", ""out_channels"": 48, ""skip_from"": 3}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}]]}",20154,ss1_3S48-.4S48r3__1S96-__2S96-,replace_conv_with_sepconv;replace_conv_with_sepconv,True
lemonade_paper_search_space_i,0,0,1.4487143754959106,0.47600001096725464,104042,ss1_0C32-__1C32-.3C64-__4C128-,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}, {""block_id"": 3, ""op"": ""conv"", ""out_channels"": 64, ""skip_from"": null}], [{""block_id"": 4, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}]]}",104558,ss1_0C32-__1C32-.3C64-__2C128-.4C128-,remove_layer_or_skip,True
lemonade_paper_search_space_i,0,0,1.412935733795166,0.48899999260902405,121834,ss1_0C32-__1C32-.3C64-__2C128-.4S128-,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""conv"", ""out_channels"": 32, ""skip_from"": null}, {""block_id"": 3, ""op"": ""conv"", ""out_channels"": 64, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""conv"", ""out_channels"": 128, ""skip_from"": null}, {""block_id"": 4, ""op"": ""sepconv"", ""out_channels"": 128, ""skip_from"": null}]]}",105071,ss1_0C32-__1C32-.3C64-__2C128-.4C128-,replace_conv_with_sepconv,True
lemonade_paper_search_space_i,0,0,1.6853379011154175,0.39399999380111694,39926,ss1_0S72-__1S96-.4S96-__2S96-.3S96r2,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""sepconv"", ""out_channels"": 72, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 4, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 3, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": 2}]]}",30377,ss1_0S72-__1S96-__2S96-.3S96-,add_skip_connection;insert_conv_bn_relu,False
lemonade_paper_search_space_i,0,0,1.5867180824279785,0.4269999861717224,45110,ss1_0S72-__1S96-.4S96r1__2S96-.3S144-,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""sepconv"", ""out_channels"": 72, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 4, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": 1}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 3, ""op"": ""sepconv"", ""out_channels"": 144, ""skip_from"": null}]]}",40842,ss1_0S72-__1S96-.4S96-__2S96-.3S96r2,remove_layer_or_skip;add_skip_connection;increase_filters,True
lemonade_paper_search_space_i,0,0,1.6479793787002563,0.39100000262260437,39927,ss1_0S72-__1S96-.4S96r1__2S96-.3S96r2,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""sepconv"", ""out_channels"": 72, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 4, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": 1}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 3, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": 2}]]}",40843,ss1_0S72-__1S96-.4S96-__2S96-.3S96r2,add_skip_connection,False
lemonade_paper_search_space_i,0,0,1.5657737255096436,0.43700000643730164,47845,ss1_0S144-__1S96-.4S96-__2S96-.3S96-,"{""next_block_id"": 5, ""stages"": [[{""block_id"": 0, ""op"": ""sepconv"", ""out_channels"": 144, ""skip_from"": null}], [{""block_id"": 1, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 4, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}], [{""block_id"": 2, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}, {""block_id"": 3, ""op"": ""sepconv"", ""out_channels"": 96, ""skip_from"": null}]]}",40842,ss1_0S72-__1S96-.4S96-__2S96-.3S96r2,increase_filters;remove_layer_or_skip;replace_conv_with_sepconv,True
