method,run,seed,generation,proposal_attempt,parent_arch_id,child_arch_id,mutation_ops,needs_distillation,status,loss,accuracy,params
lemonade_paper_search_space_i,0,0,1,1,ss1_0C32-__1C64-__2C128-,ss1_0C32-__1C64-.3C64-__2C128-,insert_conv_bn_relu,False,rejected_cheap_objective,,,131754
lemonade_paper_search_space_i,0,0,1,2,ss1_0S48-__1S96-__2S96-,ss1_0S48-__1S96-.3S96-__2S96-,insert_conv_bn_relu,False,rejected_cheap_objective,,,27013
lemonade_paper_search_space_i,0,0,1,3,ss1_0S48-__1S96-__2S96-,ss1_0S48-__1S32-__2S96-.3S96-,increase_filters;insert_conv_bn_relu;prune_filters,True,accepted_trained,2.0512235164642334,0.21799999475479126,17093
lemonade_paper_search_space_i,0,0,1,4,ss1_0S48-__1S96-__2S96-,ss1_0S48-.3S48-__1S96-__2S96-,insert_conv_bn_relu,False,rejected_cheap_objective,,,19573
lemonade_paper_search_space_i,0,0,1,5,ss1_0C64-__1C128-__2C256-,ss1_0C16-__1C128-__2C256-,prune_filters,True,accepted_trained,1.9146816730499268,0.2840000092983246,317146
lemonade_paper_search_space_i,0,0,1,6,ss1_0C64-__1C128-__2C256-,ss1_0C64-__1C32-__2C128-,prune_filters;prune_filters,True,rejected_cheap_objective,,,58762
lemonade_paper_search_space_i,0,0,2,1,ss1_0C16-__1C128-__2C256-,ss1_0C16-__1C128-__2C256-.3C256-.4C256-,insert_conv_bn_relu;insert_conv_bn_relu,False,rejected_cheap_objective,,,1497818
lemonade_paper_search_space_i,0,0,2,2,ss1_0C16-__1C128-__2C256-,ss1_0C16-__1C128-__2S256-.3S256r2,replace_conv_with_sepconv;insert_conv_bn_relu;add_skip_connection,True,accepted_trained,1.9530081748962402,0.25200000405311584,124507
lemonade_paper_search_space_i,0,0,2,3,ss1_0S48-__1S96-__2S96-,ss1_0S48-.3S48-__1S96-__2S96-,insert_conv_bn_relu,False,rejected_cheap_objective,,,19573
lemonade_paper_search_space_i,0,0,2,4,ss1_0C16-__1C128-__2C256-,ss1_0C16-__1C128-__2C384-,increase_filters,False,rejected_cheap_objective,,,466138
lemonade_paper_search_space_i,0,0,2,5,ss1_0S48-__1S96-__2S96-,ss1_0S48-__1S96-.3S96-__2S96-,insert_conv_bn_relu,False,rejected_cheap_objective,,,27013
lemonade_paper_search_space_i,0,0,2,6,ss1_0C16-__1C128-__2C256-,ss1_0C16-__1C128-__2C256-.3C256-,insert_conv_bn_relu,False,accepted_trained,2.1028828620910645,0.24199999868869781,907482
lemonade_paper_search_space_i,0,0,3,1,ss1_0S48-__1S32-__2S96-.3S96-,ss1_0S48-__1S16-__3S96-.4S96-,insert_conv_bn_relu;prune_filters;remove_layer_or_skip,True,rejected_cheap_objective,,,14613
lemonade_paper_search_space_i,0,0,3,2,ss1_0C32-__1C64-__2C128-,ss1_0C16-__1C64-__2C128-,prune_filters,True,rejected_cheap_objective,,,85082
lemonade_paper_search_space_i,0,0,3,3,ss1_0S48-__1S32-__2S96-.3S96-,ss1_0S48-__1S40-__2S96-.3S96-,increase_filters,False,accepted_trained,1.9761215448379517,0.24799999594688416,18333
lemonade_paper_search_space_i,0,0,3,4,ss1_0S48-__1S96-__2S96-,ss1_0S48-.3S48-__1S96-__2S96-,insert_conv_bn_relu,False,accepted_trained,2.051745891571045,0.24799999594688416,19573
lemonade_paper_search_space_i,0,0,3,5,ss1_0S48-__1S96-__2S96-,ss1_0S64-__1S96-__2S96-.3S96-,increase_filters;insert_conv_bn_relu,False,rejected_cheap_objective,,,28773
lemonade_paper_search_space_i,0,0,3,6,ss1_0C16-__1C128-__2C256-,ss1_0C16-__1C64-__2S256-,prune_filters;replace_conv_with_sepconv,True,rejected_cheap_objective,,,29850
lemonade_paper_search_space_i,0,0,4,1,ss1_0C16-__1C128-__2C256-,ss1_0C16-__1C128-__2C64-,prune_filters,True,accepted_trained,1.9482157230377197,0.2680000066757202,93658
lemonade_paper_search_space_i,0,0,4,2,ss1_0S48-__1S40-__2S96-.3S96-,ss1_0S48-__1S40-__2S96-.3S96r2,add_skip_connection,False,rejected_cheap_objective,,,18334
lemonade_paper_search_space_i,0,0,4,3,ss1_0S48-__1S40-__2S96-.3S96-,ss1_0S16-__1S40-__2S96-.3S96-,prune_filters,True,accepted_trained,1.9381974935531616,0.26600000262260437,16605
lemonade_paper_search_space_i,0,0,4,4,ss1_0C16-__1C128-__2S256-.3S256r2,ss1_0C32-__1C128-__2S256-.3S256r2,increase_filters,False,rejected_cheap_objective,,,143403
lemonade_paper_search_space_i,0,0,4,5,ss1_0C16-__1C128-__2S256-.3S256r2,ss1_0C16-__1C128-__2S256-.4S256r2.3S256r2,insert_conv_bn_relu;add_skip_connection,False,rejected_cheap_objective,,,192860
lemonade_paper_search_space_i,0,0,4,6,ss1_0C16-__1C128-__2S256-.3S256r2,ss1_0C16-__1C128-__3S320-,remove_layer_or_skip;increase_filters,True,rejected_cheap_objective,,,65114
lemonade_paper_search_space_i,0,0,5,1,ss1_0S16-__1S40-__2S96-.3S96-,ss1_0S16-__1S40-__2S96-.3S48-,prune_filters,True,rejected_cheap_objective,,,11421
