generation,validation_loss,validation_accuracy,best_loss_so_far,best_accuracy_so_far,parameters,topology,seconds
1,2.160163072890505,0.197,2.160163072890505,0.197,107338,768-128-64-10,4.112714499933645
2,2.0208423707378533,0.2515,2.0208423707378533,0.2515,107338,768-128-64-10,2.1096896999515593
3,1.9443318356497634,0.2775,1.9443318356497634,0.2775,107338,768-128-64-10,1.6173931999364868
4,1.874795176176303,0.3245,1.874795176176303,0.3245,107338,768-128-64-10,1.610900399973616
5,1.8388160819288029,0.3375,1.8388160819288029,0.3375,107338,768-128-64-10,1.6721076000249013
6,1.820375689079954,0.343,1.820375689079954,0.343,107338,768-128-64-10,1.6175898000365123
7,1.794653065648302,0.367,1.794653065648302,0.367,107338,768-128-64-10,1.573954900028184
8,1.773036464654559,0.3655,1.773036464654559,0.3655,107338,768-128-64-10,1.4534116999711841
9,1.7713573766799584,0.366,1.7713573766799584,0.366,107338,768-128-64-10,1.6226474000141025
10,1.7358821507215478,0.377,1.7358821507215478,0.377,107338,768-128-64-10,1.517299500061199
11,1.7310416399490218,0.3775,1.7310416399490218,0.3775,107338,768-128-64-10,1.5086565000237897
12,1.7270595945325358,0.3765,1.7270595945325358,0.3765,107338,768-128-64-10,1.5295645000878721
13,1.7140009892905874,0.391,1.7140009892905874,0.391,107338,768-128-64-10,1.4280335999792442
14,1.7079739340418034,0.3885,1.7079739340418034,0.3885,107338,768-128-64-10,1.4794040999840945
15,1.7099893720295518,0.392,1.7079739340418034,0.3885,107338,768-128-64-10,1.5770083999959752
16,1.7125492459653515,0.3945,1.7079739340418034,0.3885,107338,768-128-64-10,1.579630900057964
17,1.702647258782836,0.3895,1.702647258782836,0.3895,107338,768-128-64-10,1.5545963000040501
18,1.6885344800299267,0.3915,1.6885344800299267,0.3915,107338,768-128-64-10,1.4702571000671014
19,1.6826518170281806,0.3905,1.6826518170281806,0.3905,107338,768-128-64-10,1.5386446999618784
20,1.6786782043456867,0.3935,1.6786782043456867,0.3935,107338,768-128-64-10,1.536008899915032
